filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wallpapers/willian-justen-de-vasconcellos-lDtPi8I-6TE-unsplash.jpg,"6te,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wallpapers,hq pictures,justen,ldtpi8i,unsplash,vasconcellos,wallpapers,willian"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1677559106586753_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.52.10.png,"(i.4cdn.org),06.52.10,1677559106586753,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1677559143514197_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.52.09.png,"(i.4cdn.org),06.52.09,1677559143514197,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1677575654321816.png,"1677575654321816,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1677753827996710_png_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.52.13.png,"(i.4cdn.org),06.52.13,1677753827996710,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1677783390094173_png_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.52.11.png,"(i.4cdn.org),06.52.11,1677783390094173,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1677784100218966_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.52.14.png,"(i.4cdn.org),06.52.14,1677784100218966,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1679797717499236_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.37.39.png,"(i.4cdn.org),06.37.39,1679797717499236,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1679798109431640_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.40.26.png,"(i.4cdn.org),06.40.26,1679798109431640,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1680736632989418_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.41.32.png,"(i.4cdn.org),06.41.32,1680736632989418,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1680737012941568_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.42.45.png,"(i.4cdn.org),06.42.45,1680737012941568,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1680737092933261_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.42.48.png,"(i.4cdn.org),06.42.48,1680737092933261,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1680743357402969_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.42.51.png,"(i.4cdn.org),06.42.51,1680743357402969,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681241618839635_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.42.56.png,"(i.4cdn.org),06.42.56,1681241618839635,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681416946622064_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.42.58.png,"(i.4cdn.org),06.42.58,1681416946622064,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681502446485771_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_12.34.37.png,"(i.4cdn.org),12.34.37,1681502446485771,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681502647435194_jpg_(i.4cdn.org)_[is2.4chan.org]_2023-09-10_12.32.30.png,"(i.4cdn.org),12.32.30,1681502647435194,2023,[is2.4chan.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681502862667291_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_12.35.10.png,"(i.4cdn.org),12.35.10,1681502862667291,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681680320274803.jpg,"1681680320274803,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681680444096671.jpg,"1681680444096671,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1681854994082033_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_12.34.01.png,"(i.4cdn.org),12.34.01,1681854994082033,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682185488933576_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-09_22.56.07.png,"(i.4cdn.org),1682185488933576,2023,22.56.07,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682190842860344_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-09_22.56.41.png,"(i.4cdn.org),1682190842860344,2023,22.56.41,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682190878194318.jpg,"1682190878194318,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682269256459607_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-04-25_06.43.00.png,"(i.4cdn.org),06.43.00,1682269256459607,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682723898284787_png_(i.4cdn.org)_[i.4cdn.org]_2023-05-02_13.29.48.png,"(i.4cdn.org),13.29.48,1682723898284787,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682744243581063.jpg,"1682744243581063,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682753763875797_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.07.18.png,"(i.4cdn.org),12.07.18,1682753763875797,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682852604532666_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.07.21.png,"(i.4cdn.org),12.07.21,1682852604532666,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682852666995774_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.07.28.png,"(i.4cdn.org),12.07.28,1682852666995774,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682852706323105_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.07.34.png,"(i.4cdn.org),12.07.34,1682852706323105,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682867236261244_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.07.46.png,"(i.4cdn.org),12.07.46,1682867236261244,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682915730526862_png_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.10.57.png,"(i.4cdn.org),12.10.57,1682915730526862,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1682933270051704_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.11.00.png,"(i.4cdn.org),12.11.00,1682933270051704,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1683442144367419_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.11.03.png,"(i.4cdn.org),12.11.03,1683442144367419,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1683824580696809_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_11.56.26.png,"(i.4cdn.org),11.56.26,1683824580696809,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684298660187994_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.11.09.png,"(i.4cdn.org),12.11.09,1684298660187994,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684298901200699_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.11.18.png,"(i.4cdn.org),12.11.18,1684298901200699,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684378043374334_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.11.23.png,"(i.4cdn.org),12.11.23,1684378043374334,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684379206991394_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.12.41.png,"(i.4cdn.org),12.12.41,1684379206991394,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684409747758994_png_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.12.44.png,"(i.4cdn.org),12.12.44,1684409747758994,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684496812259142_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-20_12.12.48.png,"(i.4cdn.org),12.12.48,1684496812259142,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1684824388254845_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-05-24_11.13.48.png,"(i.4cdn.org),11.13.48,1684824388254845,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1686949440864662_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_09.46.29.png,"(i.4cdn.org),09.46.29,1686949440864662,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1688210031250022.png,"1688210031250022,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1690354318460225.jpg,"1690354318460225,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1692386182110839.jpg,"1692386182110839,downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1692386232996493_png_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_11.38.38.png,"(i.4cdn.org),11.38.38,1692386232996493,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1693055420495381_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_11.58.27.png,"(i.4cdn.org),11.58.27,1693055420495381,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1693088235248452_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_11.38.58.png,"(i.4cdn.org),11.38.58,1693088235248452,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1693480619152022_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_11.39.13.png,"(i.4cdn.org),11.39.13,1693480619152022,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1694304159211212_png_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_11.59.46.png,"(i.4cdn.org),11.59.46,1694304159211212,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,png,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/HQ Pictures/wg/1694304967395243_jpg_(i.4cdn.org)_[i.4cdn.org]_2023-09-10_12.26.02.png,"(i.4cdn.org),12.26.02,1694304967395243,2023,[i.4cdn.org],downloaded via net,downloaded via net/hq pictures,downloaded via net/hq pictures/wg,hq pictures,jpg,wg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1660245002555896.png,"1660245002555896,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1661410366191228.png,"1661410366191228,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1661487229360830.png,"1661487229360830,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1662800718447461.png,"1662800718447461,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1663380759759429.jpg,"1663380759759429,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1664120993649775.png,"1664120993649775,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/1696275121517809.png,"1696275121517809,downloaded via net,downloaded via net/misc,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/rdajl0xomp2a1_webp_2023-02-24_19.11.35.png,"19.11.35,2023,downloaded via net,downloaded via net/misc,misc,rdajl0xomp2a1,webp"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/1_bf21a819-c306-4bb3-9a72-bc08d45dbe98_2400x.webp,"2400x,4bb3,9a72,bc08d45dbe98,bf21a819,c306,downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,icons,misc"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/80908497-fc572800-8d28-11ea-9140-d305e6b0a0eb-removebg-preview(enlarged).png,"11ea,80908497,8d28,9140,d305e6b0a0eb,downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,fc572800,icons,misc,preview(enlarged),removebg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/80908497-fc572800-8d28-11ea-9140-d305e6b0a0eb-removebg-preview(enlarged).v4.png,"11ea,80908497,8d28,9140,d305e6b0a0eb,downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,fc572800,icons,misc,preview(enlarged).v4,removebg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/80908497-fc572800-8d28-11ea-9140-d305e6b0a0eb-removebg-preview.png,"11ea,80908497,8d28,9140,d305e6b0a0eb,downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,fc572800,icons,misc,preview,removebg"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/Crydamoure_webp__static.wikia.nocookie.net___static.wikia.nocookie.net__2023-09-08_07.29.31-removebg-preview.png,"07.29.31,2023,crydamoure,downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,icons,misc,preview,removebg,static.wikia.nocookie.net,webp"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/Untitled-removebg-preview.png,"downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,icons,misc,preview,removebg,untitled"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/icons/Untitled.png,"downloaded via net,downloaded via net/misc,downloaded via net/misc/icons,icons,misc,untitled"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/profile pictures/whatsapp/255334161_4937217626373934_760862858529978041_n.jpg,"255334161,4937217626373934,760862858529978041,downloaded via net,downloaded via net/misc,downloaded via net/misc/profile pictures,downloaded via net/misc/profile pictures/whatsapp,misc,profile pictures,whatsapp"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/profile pictures/whatsapp/image.png,"downloaded via net,downloaded via net/misc,downloaded via net/misc/profile pictures,downloaded via net/misc/profile pictures/whatsapp,image,misc,profile pictures,whatsapp"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/profile pictures/whatsapp/TteeRJt9DujS5CcHM_Wgv_P_qmaFNyBpICPoJlkD-kk_png-removebg-preview.png,"downloaded via net,downloaded via net/misc,downloaded via net/misc/profile pictures,downloaded via net/misc/profile pictures/whatsapp,misc,png,preview,profile pictures,qmafnybpicpojlkd,removebg,tteerjt9dujs5cchm,wgv,whatsapp"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/misc/profile pictures/whatsapp/u6SeKDk-removebg-preview.png,"downloaded via net,downloaded via net/misc,downloaded via net/misc/profile pictures,downloaded via net/misc/profile pictures/whatsapp,misc,preview,profile pictures,removebg,u6sekdk,whatsapp"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/NASADailyPictures/2022-09-10-Galaxy by the Lake.jpg,"2022,downloaded via net,downloaded via net/nasadailypictures,galaxy by the lake,nasadailypictures"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/NASADailyPictures/2022-09-12-Red Sprite Lightning over the Czech Republic.jpg,"2022,downloaded via net,downloaded via net/nasadailypictures,nasadailypictures,red sprite lightning over the czech republic"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/NASADailyPictures/2022-09-13-A Long Snaking Filament on the Sun.jpg,"2022,a long snaking filament on the sun,downloaded via net,downloaded via net/nasadailypictures,nasadailypictures"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/NASADailyPictures/2022-09-14-Waves of the Great Lacerta Nebula.jpg,"2022,downloaded via net,downloaded via net/nasadailypictures,nasadailypictures,waves of the great lacerta nebula"
